id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
152,140,Fakultas Ekonomi dan Bisnis,FEB,44,Soka,Ixora chinensis Lam.,Rubiaceae,Akar; batang; kulit batang; daun; bunga.,"Akar dibuat dekokta untuk keluhan lambung, masa setelah persalinan, dan keluhan bronkial; bunga dibuat dekokta atau infusa segar; akar, batang, daun, bunga, dan kulit batang digunakan sebagai ramuan tradisional. Daun dan kulit batang dikeringkan, diserbukkan, lalu dimaserasi dengan metanol; daun juga diekstraksi dengan metanol atau etanol untuk uji antibakteri dan antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,8
153,141,Fakultas Ekonomi dan Bisnis,FEB,45,Bromelia raksasa,Alcantarea imperialis (Carrière) Harms,Bromeliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
154,142,Fakultas Ekonomi dan Bisnis,FEB,46,Areca,Areca catechu L.,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,3,,0
155,143,Fakultas Ekonomi dan Bisnis,FEB,47,Alocasia,Alocasia sanderiana W.Bull,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
156,144,Fakultas Ekonomi dan Bisnis,FEB,48,Euphorbia,Euphorbia lactea Haw.,Euphorbiaceae,Lateks; bagian aerial atau batang sukulen.,"Tirucallol diisolasi dari lateks dan diberikan topikal pada model inflamasi hewan. Bagian aerial dikeringkan, diekstraksi dengan etanol, dipartisi dengan beberapa pelarut, dan dipisahkan melalui kromatografi untuk uji sitotoksik pada sel kanker.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Imunologi; Gangguan Kulit (Dermatologi); Gangguan Onkologi (Kanker),3
157,145,Fakultas Ekonomi dan Bisnis,FEB,49,Soka merah,Ixora coccinea L.,Rubiaceae,Daun; bunga; akar; kulit batang; buah,"Bagian tanaman digunakan sebagai rebusan/dekokta, infusa, tumbukan atau sediaan topikal; penelitian menggunakan ekstrak metanol, etanol, dan alkohol serta fraksinasi pelarut.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Psikiatri; Gangguan Ginekologi dan Obstetri; Gangguan Mata (Oftalmologi); Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
158,146,Fakultas Ekonomi dan Bisnis,FEB,50,Hibiscus,Hibiscus fragilis DC.,Malvaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
159,147,Fakultas Ekonomi dan Bisnis,FEB,51,Bunga kertas,Bougainvillea × buttiana Holttum & Standl.,Nyctaginaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
160,148,Fakultas Ekonomi dan Bisnis,FEB,52,Soka,Ixora chinensis Lam.,Rubiaceae,Akar; batang; kulit batang; daun; bunga.,"Akar dibuat dekokta untuk keluhan lambung, masa setelah persalinan, dan keluhan bronkial; bunga dibuat dekokta atau infusa segar; akar, batang, daun, bunga, dan kulit batang digunakan sebagai ramuan tradisional. Daun dan kulit batang dikeringkan, diserbukkan, lalu dimaserasi dengan metanol; daun juga diekstraksi dengan metanol atau etanol untuk uji antibakteri dan antioksidan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi,8
161,149,Fakultas Ekonomi dan Bisnis,FEB,53,Mengkudu,Morinda citrifolia L.,Rubiaceae,Akar; kulit batang; daun; bunga; buah dan jus buah; biji.,"Buah dikonsumsi segar atau difermentasi menjadi jus. Penggunaan tradisional mencakup infusa atau dekokta daun, akar, dan kulit batang. Penelitian menggunakan ekstrak air, etanol, metanol, fraksi, polisakarida, dan senyawa terisolasi pada uji in vitro serta model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker); Gangguan Nutrisi,9
162,150,Fakultas Ekonomi dan Bisnis,FEB,54,Sawo,Manilkara zapota (L.) P.Royen,Sapotaceae,Buah dan daging buah; kulit buah; biji; daun; kulit batang; lateks.,"Buah matang dikonsumsi segar atau diolah sebagai pangan. Biji, daun, dan kulit batang digunakan secara tradisional sebagai rebusan atau sediaan lain. Penelitian memakai ekstrak air, etanol, metanol, petroleum eter, fraksi, serta uji in vitro dan model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),11
163,151,Fakultas Ekonomi dan Bisnis,FEB,55,Jambu biji,Psidium guajava L.,Myrtaceae,Akar; kulit batang dan batang; daun; bunga; buah dan kulit buah; biji.,"Buah dikonsumsi segar atau sebagai jus/pangan olahan. Daun, akar, dan kulit batang dibuat infusa atau dekokta; penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak atsiri, fraksi, dan senyawa terisolasi untuk penggunaan oral, topikal, serta pengujian in vitro dan in vivo.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
164,152,Fakultas Ekonomi dan Bisnis,FEB,56,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
165,153,Fakultas Ekonomi dan Bisnis,FEB,57,Jambu air,Syzygium aqueum (Burm.f.) Alston,Myrtaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Buah dan Sayuran,2,,0
166,154,Fakultas Ekonomi dan Bisnis,FEB,58,Philodendron,Philodendron burle-marxii G.M.Barroso,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
167,155,Fakultas Ekonomi dan Bisnis,FEB,59,Mawar kuning,Rosa foetida Herrm.,Rosaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Buah dan Sayuran,2,,0
168,156,Fakultas Ekonomi dan Bisnis,FEB,60,Mawar,Rosa abietina Gren. ex Christ,Rosaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
169,157,Fakultas Ekonomi dan Bisnis,FEB,61,Osmoxylon,Osmoxylon lineare (Merr.) Philipson,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
170,158,Fakultas Ekonomi dan Bisnis,FEB,62,Wrightia,Wrightia antidysenterica (L.) R.Br.,Apocynaceae,Kulit batang atau akar; biji; bunga.,"Penggunaan tradisional mencakup rebusan, serbuk, atau sediaan bagian kulit dan biji untuk keluhan pencernaan serta infeksi tertentu. Bunga terutama digunakan sebagai tanaman ornamental. Informasi tradisional tidak diubah menjadi anjuran klinis.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan; Gangguan Ginekologi dan Obstetri; Penyakit Infeksi,3
171,159,Fakultas Ekonomi dan Bisnis,FEB,63,Ara,Ficus padana Burm.f.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
172,160,Fakultas Adab dan Humaniora,FAH,1,Ficus,Ficus benjamina L.,Moraceae,Akar; kulit batang; daun; buah; lateks.,"Penggunaan tradisional mencakup rebusan, ekstrak, dan aplikasi lokal. Penelitian memakai ekstrak air, etanol, metanol, fraksi, minyak atau lateks, serta uji antimikroba, antiinflamasi, sitotoksik, dan aktivitas lain secara in vitro atau praklinik.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
173,161,Fakultas Adab dan Humaniora,FAH,2,Ketapang kencana,Terminalia mantaly H.Perrier,Combretaceae,Daun; kulit batang; akar,"Serbuk kering daun, kulit batang, dan akar dimaserasi dengan air atau metanol; ekstrak tertentu difraksinasi dengan heksana, kloroform, dan etil asetat; kulit batang juga diekstraksi dan diisolasi secara kromatografi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin; Penyakit Infeksi,2
174,162,Fakultas Adab dan Humaniora,FAH,3,Palem kentia,Howea forsteriana (F.Muell.) Becc.,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
175,163,Fakultas Adab dan Humaniora,FAH,4,Kamboja merah,Plumeria rubra L.,Apocynaceae,Akar; kulit batang dan batang; daun; bunga; buah dan biji; getah/lateks.,"Bagian tanaman digunakan sebagai dekokta atau infusa, serbuk, tumbukan/pasta, dan aplikasi getah secara topikal dalam laporan etnomedis. Penelitian menggunakan ekstrak air, etanol, metanol, petroleum eter, kloroform, dan fraksi/isolat untuk uji farmakologi dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
176,164,Fakultas Adab dan Humaniora,FAH,5,Palem putri,Adonidia merrillii (Becc.) Becc.,Arecaceae,Buah dan perikarp; biji atau kernel dan minyak biji; daun; bunga.,"Penggunaan tradisional dan pangan dibedakan dari penelitian. Studi menggunakan ekstrak metanol atau pelarut lain dari buah, perikarp, dan biji, pengepresan atau analisis minyak, serta uji antibakteri dan sitotoksik in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
177,165,Fakultas Adab dan Humaniora,FAH,6,Sambang darah hias,Excoecaria cochinchinensis Lour.,Euphorbiaceae,Bagian aerial; daun,"Bagian aerial dikeringkan, diserbukkan, dan diekstraksi berulang dengan metanol; ekstrak dipartisi bertahap dengan n-heksana, campuran n-heksana-etil asetat, dan etil asetat; penelitian lain menggunakan ekstrak air atau etanol daun.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Urologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),6
178,166,Fakultas Adab dan Humaniora,FAH,7,Gelombang cinta,Anthurium hookeri Kunth,Araceae,Daun; seluruh tanaman dan getah dalam konteks paparan toksik.,"Daun dikeringkan dan dibuat ekstrak dengan beberapa pelarut untuk skrining fitokimia, antioksidan, dan antibakteri in vitro. Tanaman dipelihara sebagai ornamental. Paparan tertelan atau kontak getah dicatat untuk pencegahan iritasi kalsium oksalat.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Penyakit Infeksi,1
179,167,Fakultas Adab dan Humaniora,FAH,8,Bunga telang,Clitoria ternatea L.,Fabaceae,Akar; daun; bunga; biji; seluruh bagian aerial.,"Penggunaan tradisional mencakup dekokta, infusa, serbuk, dan pasta. Bunga juga digunakan sebagai pewarna atau minuman pangan. Penelitian memakai ekstrak air, etanol, metanol, fraksi, serta pemberian oral pada model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Psikiatri; Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi,6
180,168,Fakultas Adab dan Humaniora,FAH,9,Beringin bonsai,Ficus retusa L.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
181,169,Fakultas Adab dan Humaniora,FAH,10,Pepaya,Carica papaya L.,Caricaceae,Akar; batang dan kulit batang; daun; bunga; buah matang dan mentah; kulit buah; biji; getah/lateks dan papain.,"Buah matang dikonsumsi segar, dibuat jus, atau diolah sebagai pangan; buah muda dimasak. Daun, akar, dan kulit batang dibuat infusa/dekokta atau perasan. Penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak biji, lateks/papain, fraksi, dan nanopartikel berbasis ekstrak.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),9
182,170,Fakultas Adab dan Humaniora,FAH,11,Beringin bonsai,Ficus retusa L.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
183,171,Fakultas Adab dan Humaniora,FAH,12,Drasena tutul,Dracaena surculosa Lindl.,Asparagaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
184,172,Fakultas Adab dan Humaniora,FAH,13,Suruhan,Peperomia pellucida (L.) Kunth,Piperaceae,Seluruh tanaman; bagian aerial; daun; batang; akar.,"Seluruh tanaman dapat dikonsumsi mentah atau dimasak sebagai sayuran. Penggunaan tradisional mencakup infusa, dekokta, perasan, atau balur. Penelitian memakai ekstrak air, etanol, metanol, fraksinasi, isolasi senyawa, dan model in vitro atau hewan.",Tanaman Obat; Tanaman Buah dan Sayuran,2,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,10
185,173,Fakultas Adab dan Humaniora,FAH,14,Kemangi hutan,Ocimum americanum L.,Lamiaceae,Daun; bunga; bagian aerial; minyak atsiri.,"Daun dan bagian aerial digunakan sebagai infusa atau dekokta dan sebagai bahan pangan aromatik. Penelitian menggunakan ekstrak air, etanol, metanol, serta minyak atsiri hasil distilasi untuk uji farmakologi dan antimikroba.",Tanaman Obat; Tanaman Toksik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Penyakit Infeksi,6
186,174,Fakultas Adab dan Humaniora,FAH,15,Kemangi hutan,Ocimum americanum L.,Lamiaceae,Daun; bunga; bagian aerial; minyak atsiri.,"Daun dan bagian aerial digunakan sebagai infusa atau dekokta dan sebagai bahan pangan aromatik. Penelitian menggunakan ekstrak air, etanol, metanol, serta minyak atsiri hasil distilasi untuk uji farmakologi dan antimikroba.",Tanaman Obat; Tanaman Toksik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Penyakit Infeksi,6
187,175,Fakultas Adab dan Humaniora,FAH,16,Kemangi hutan,Ocimum americanum L.,Lamiaceae,Daun; bunga; bagian aerial; minyak atsiri.,"Daun dan bagian aerial digunakan sebagai infusa atau dekokta dan sebagai bahan pangan aromatik. Penelitian menggunakan ekstrak air, etanol, metanol, serta minyak atsiri hasil distilasi untuk uji farmakologi dan antimikroba.",Tanaman Obat; Tanaman Toksik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Penyakit Infeksi,6
188,176,Fakultas Adab dan Humaniora,FAH,17,Terong,Solanum melongena L.,Solanaceae,Buah; kulit buah; biji; daun dan bagian aerial atau residu tanaman.,"Buah dimasak sebagai sayuran. Penelitian memanfaatkan bagian aerial pascapanen sebagai ekstrak kaya fenolik, dilanjutkan analisis kromatografi serta uji antioksidan, penghambatan α-glukosidase, antiinflamasi, antimikroba, dan sitotoksik in vitro.",Tanaman Obat; Tanaman Toksik; Tanaman Buah dan Sayuran,3,Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
189,177,Fakultas Adab dan Humaniora,FAH,18,Cabai rawit,Capsicum frutescens L.,Solanaceae,Buah.,"Buah dikonsumsi sebagai bumbu atau sayuran. Dalam penelitian, buah beberapa genotipe diekstraksi untuk analisis fenolik dan flavonoid, aktivitas antioksidan, serta penghambatan α-glukosidase in vitro. Ekstrak pekat tidak disamakan dengan konsumsi kuliner.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Endokrin,1
190,178,Fakultas Adab dan Humaniora,FAH,19,Rosela,Sabdariffa gossypiifolia (Mill.) M.M.Hanes & R.L.Barrett,Malvaceae,Kelopak atau kaliks; bunga; daun; biji; batang.,"Kaliks digunakan sebagai infusa panas atau dingin, teh, sirup, dan produk pangan. Penelitian membandingkan ekstrak air panas dan dingin, menganalisis profil metabolit, serta menguji efek antihipertensi dan kardioprotektif pada model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular,1
191,179,Fakultas Adab dan Humaniora,FAH,20,Anggrek dendrobium,Dendrobium nobile Lindl.,Orchidaceae,Batang atau cane; daun; bunga; seluruh bagian aerial.,"Batang digunakan sebagai dekokta dalam pengobatan tradisional. Penelitian memakai ekstrak air atau etanol, polisakarida, alkaloid, bibenzil, dan senyawa terisolasi untuk uji in vitro serta model hewan.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Mata (Oftalmologi); Gangguan Kulit (Dermatologi); Gangguan Onkologi (Kanker),8
192,180,Fakultas Adab dan Humaniora,FAH,21,Philodendron jari,Philodendron bipinnatifidum Schott ex Endl.,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
193,181,Fakultas Adab dan Humaniora,FAH,22,Palem merah,Cyrtostachys renda Blume,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
194,182,Fakultas Adab dan Humaniora,FAH,23,Sinyo nakal,Duranta erecta L.,Verbenaceae,Daun; buah; bunga; akar; kulit batang atau batang.,"Penggunaan tradisional mencakup dekokta dan aplikasi lokal. Penelitian memakai ekstrak air, etanol, metanol, fraksinasi, minyak atsiri, dan senyawa terisolasi untuk uji antimikroba, antiinflamasi, antihiperglikemik, sitotoksik, dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
195,183,Fakultas Adab dan Humaniora,FAH,24,Paku sarang burung,Asplenium nidus L.,Aspleniaceae,Seluruh tanaman atau bagian aerial yang dikeringkan untuk ekstraksi.,"Bahan tanaman dikeringkan, diserbukkan, dan diekstraksi dengan metanol selama 48 jam. Ekstrak dipisahkan melalui kromatografi kolom; flavonoid terisolasi diuji antibakteri dan sitotoksik terhadap lini sel kanker secara in vitro.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi; Gangguan Onkologi (Kanker),2
